ts,symbol,basisPct,term,divZ,deltaPctPerMin,fundingRate,openInterest
2025-09-18T20:58:37.797Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-18T20:58:46.716Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-18T20:58:55.683Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-18T20:59:04.701Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-18T20:59:13.647Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-18T20:59:30.464Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-18T20:59:47.634Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-18T21:00:15.372Z,TON/USDT,,,0.0000,0.0000,,
2025-09-18T21:00:24.298Z,TON/USDT,,,0.0000,0.0000,,
2025-09-18T21:00:33.283Z,TON/USDT,,,0.0000,0.0000,,
2025-09-18T21:00:42.318Z,TON/USDT,,,0.0000,0.0000,,
2025-09-18T21:00:51.466Z,TON/USDT,,,0.0000,0.0000,,
2025-09-18T21:01:15.635Z,TON/USDT,,,0.0000,0.0000,,
2025-09-18T21:01:25.505Z,TON/USDT,,,0.0000,0.0000,,
2025-09-18T21:01:51.647Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-18T21:02:00.805Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-18T21:02:09.975Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-18T21:02:18.899Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-18T21:02:27.939Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-18T21:02:51.981Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-18T21:03:01.127Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-18T21:03:27.731Z,BNB/USDT,,,0.0000,0.0000,,
2025-09-18T21:03:37.349Z,BNB/USDT,,,0.0000,0.0000,,
2025-09-18T21:03:46.413Z,BNB/USDT,,,0.0000,0.0000,,
2025-09-18T21:03:55.400Z,BNB/USDT,,,0.0000,0.0000,,
2025-09-18T21:04:04.641Z,BNB/USDT,,,0.0000,0.0000,,
2025-09-19T22:33:56.411Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-21T16:25:13.160Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-21T16:48:48.806Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-21T16:51:20.060Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-21T19:07:59.042Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-21T19:08:06.570Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-21T19:08:14.094Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-21T19:08:21.630Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-21T19:08:29.137Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-21T19:08:36.655Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-21T19:08:46.049Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-21T19:08:58.523Z,TON/USDT,,,0.0000,0.0000,,
2025-09-21T19:09:06.143Z,TON/USDT,,,0.0000,0.0000,,
2025-09-21T19:09:13.781Z,TON/USDT,,,0.0000,0.0000,,
2025-09-21T19:09:21.259Z,TON/USDT,,,0.0000,0.0000,,
2025-09-21T19:09:28.771Z,TON/USDT,,,0.0000,0.0000,,
2025-09-21T19:09:37.202Z,TON/USDT,,,0.0000,0.0000,,
2025-09-21T19:09:46.550Z,TON/USDT,,,0.0000,0.0000,,
2025-09-21T19:09:58.631Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-21T19:10:06.306Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-21T19:10:13.850Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-21T19:10:21.380Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-21T19:10:28.883Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-21T19:10:36.347Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-21T19:10:45.811Z,ETH/USDT,,,0.0000,0.0000,,
2025-09-21T19:10:58.155Z,BNB/USDT,,,0.0000,0.0000,,
2025-09-21T19:11:06.075Z,BNB/USDT,,,0.0000,0.0000,,
2025-09-21T19:11:14.044Z,BNB/USDT,,,0.0000,0.0000,,
2025-09-21T19:11:21.493Z,BNB/USDT,,,0.0000,0.0000,,
2025-09-21T19:11:28.993Z,BNB/USDT,,,0.0000,0.0000,,
2025-09-21T19:11:36.451Z,BNB/USDT,,,0.0000,0.0000,,
2025-09-21T19:11:45.827Z,BNB/USDT,,,0.0000,0.0000,,
2025-09-21T19:11:57.911Z,XRP/USDT,,,0.0000,0.0000,,
2025-09-21T19:12:05.594Z,XRP/USDT,,,0.0000,0.0000,,
2025-09-21T19:12:13.171Z,XRP/USDT,,,0.0000,0.0000,,
2025-09-21T19:12:20.746Z,XRP/USDT,,,0.0000,0.0000,,
2025-09-21T19:12:28.250Z,XRP/USDT,,,0.0000,0.0000,,
2025-09-21T19:12:35.728Z,XRP/USDT,,,0.0000,0.0000,,
2025-09-21T19:12:45.378Z,XRP/USDT,,,0.0000,0.0000,,
2025-09-21T19:12:57.729Z,SUI/USDT,,,0.0000,0.0000,,
2025-09-21T19:13:05.167Z,SUI/USDT,,,0.0000,0.0000,,
2025-09-21T19:13:12.747Z,SUI/USDT,,,0.0000,0.0000,,
2025-09-21T19:13:20.655Z,SUI/USDT,,,0.0000,0.0000,,
2025-09-21T19:13:28.221Z,SUI/USDT,,,0.0000,0.0000,,
2025-09-21T19:13:35.683Z,SUI/USDT,,,0.0000,0.0000,,
2025-09-21T19:13:45.144Z,SUI/USDT,,,0.0000,0.0000,,
2025-09-21T19:26:24.069Z,SOL/USDT,,,0.0000,0.0000,,
2025-09-21T19:26:31.526Z,SOL/USDT,,,0.0000,0.0000,,
