ts,timeframe,event,side,entry,stop,tp,confidence,reason,notes,proposalId
2025-09-18T21:00:16.461Z,1m,propose_none,,,,,,price=3.1759;atr=0.0011;adx=13.03,noCleanSetup,
2025-09-18T21:00:25.397Z,3m,propose_none,,,,,,price=3.1738;atr=0.0028;adx=24.17,noCleanSetup,
2025-09-18T21:00:34.379Z,5m,propose_none,,,,,,price=3.1737;atr=0.0038;adx=21.67,noCleanSetup,
2025-09-18T21:00:43.450Z,15m,propose_none,,,,,,price=3.1737;atr=0.0073;adx=10.69,lowADX,
2025-09-18T21:00:52.608Z,30m,propose_none,,,,,,price=3.1740;atr=0.0115;adx=18.67,lowADX,
2025-09-18T21:01:16.735Z,1h,propose_none,,,,,,price=3.1756;atr=0.0172;adx=14.61,lowADX,
2025-09-18T21:01:26.621Z,4h,propose_none,,,,,,price=3.1757;atr=0.0367;adx=15.97,lowADX,
2025-09-21T19:08:58.860Z,1m,propose_none,,,,,,price=3.0565;atr=0.0015;adx=31.95,noCleanSetup | tpCount=0;trailing=0,
2025-09-21T19:09:06.506Z,3m,propose_none,,,,,,price=3.0563;atr=0.0029;adx=26.62,noCleanSetup | tpCount=0;trailing=0,
2025-09-21T19:09:14.115Z,5m,propose_none,,,,,,price=3.0562;atr=0.0042;adx=27.53,noCleanSetup | tpCount=0;trailing=0,
2025-09-21T19:09:21.646Z,15m,propose_none,,,,,,price=3.0574;atr=0.0077;adx=23.37,noCleanSetup | tpCount=0;trailing=0,
2025-09-21T19:09:29.116Z,30m,propose_none,,,,,,price=3.0577;atr=0.0102;adx=40.05,noCleanSetup | tpCount=0;trailing=0,
2025-09-21T19:09:37.544Z,1h,propose_none,,,,,,price=3.0564;atr=0.0128;adx=45.89,noCleanSetup | tpCount=0;trailing=0,
2025-09-21T19:09:46.888Z,4h,propose_none,,,,,,price=3.0564;atr=0.0293;adx=29.09,noCleanSetup | tpCount=0;trailing=0,
